original,ex_predicted
Jayalalithaa died of multiple organ failure: Doctor,"The doctor said that an infection led to organ failure.When asked about why no pictures of Amma were released, the doctor said that they did not allow release of information about patients who are critical."
Air India pilot flies bird-hit plane with 122 on board,"Protocol demands that the aircraft should have contacted the nearest ATC and seek priority landing.The pilot instead decided to fly all the way to their destination at the IGI airport in Delhi where it was allegedly denied permission to land for not following the standard operating procedure.A PTI report said the Delhi-bound flight, carrying 122 passengers and crew on board, was diverted to Jaipur later on."
"Saif is a pro, he even changes son Taimur's diapers: Kareena","He is very supportive"" - Kareena pic.twitter.com/uUEeIL7yBXKareena told Indian Express that Saif is a very hands-on father."
11 deaths in 2 months in Delhi mental health facility: DCW,"The inspection team also found patients in need of wheelchairs crawling on the floor to reach toilets.Also Read: Black Diwali in DCW over unpaid salaries, women commission might close down mobile helpline, rape crisis cellThe commission also discovered 11 unreported deaths in the last two months in Asha Kiran and has demanded complete medical records.Among other shocking revelations, the team found that mentally challenged children are being denied mattresses.The staff cited wetting of mattresses by children as the reason to force them to sleep on the floor in the cold weather.Not only were the washrooms in a deplorable condition with excreta, menstruation blood and urine spread all over with patients walking over them, even the rooms housing them were reeking of urine as the patients relieved themselves there, DCW officials told Mail Today""In addition to overcrowding, we saw mentally challenged residents sweeping the house, cleaning clothes and tending to the staff's need like massaging legs."
My father caught me making out with a boy in school: Sunny,"In her recent interview with YouTuber Hanee Chavan, Sunny opens up on her childhood, first kiss and first heartbreak.ALSO SEE: Sunny Leone's bathtub pictures with Daniel Weber are too hot to handleSunny revealed that her first heartbreak happened when her family moved from Michigan to California, and she had to leave behind her high school boyfriend, who used to write her sweet love letters."
Kaabil enters ?100 crore club on 11th day of its release,"Although Shah Rukh Khan's Raees became the first film of 2017 to make it to the Rs 100 crore club, Hrithik Roshan and Yami Gautam-starrer Kaabil is not lagging far behind."
World's oldest emoji discovered in document from 1635,"Scientists have found what they believe is the world's oldest emoji - a smiley face scrawled in a legal document dating back to 1635.A lawyer reviewing municipal account documents in a village next to the Strazov Mountains of Slovakia, signed his go-ahead by drawing a small circle with two dots and a line - an image recognised today as a smiley-face emoji.The discovery makes it the world's oldest known emoji."
Hrithik wanted industry people to sabotage my career: Ranaut,"""The Rangoon actor had earlier said that she was threatened and her parents were concerned for her safety."
BJP MP equates Priyanka Gandhi to 'special utensil of steel',"Congress leader Priyanka Gandhi was yet again on the receiving end as BJP leader and union minister Mahendranath Pandey took a jibe on her saying she is like special tool brought by Congress to impress voters in Uttar Pradesh Assembly election.During a poll campaign in UP's Hamirpur, the Union Minister of State for Human Resources Development said, ""In houses of Uttar Pradesh villages we keep some special utensils of steel."
We urge India to stop bloodbath in Kashmir: Nawaz Sharif,"Upping the ante, Prime Minister Nawaz Sharif today said Kashmir is the ""core dispute"" between India and Pakistan and the dream of peace and prosperity of the people of the region will remain elusive without resolving the issue."
Just working with me doesn't make anyone an actor: Shah Rukh,"Mumbai, Feb 4 (PTI) Making debut opposite Shah Rukh may be every Bollywood aspirants dream, but the superstar says working with him does not make anyone ""an actor""."
Usain Bolt participates in his first-ever mixed gender relay,"The Nitro Series promised to make athletics a show and the sport's ultimate show-man Usain Bolt capped its first meeting in Melbourne on Saturday by propelling his team of international ""All-Stars"" to a crowd-pleasing win in the 4x100 metres relay.Taking the baton from Olympic gold medal-winning team mate Asafa Powell, Jamaican Bolt powered down the second leg at Lakeside Stadium before Americans Jenna Prandini and Jeneba Tarmoh completed the win in the mixed team event ahead of Japan and Australia.Bolt's first run of the year and first in Australia brought the curtain down on opening night of the Series, which has pledged to ""revolutionise"" athletics with a team-based event that borrows heavily from the formula of sport and entertainment which has underpinned Twenty20 cricket's considerable success.With athletics struggling to maintain a profile outside of the Olympics and rocked by major doping and corruption scandals in recent years, organisers hope the series can reinvigorate the sport by shaking up the traditional schedule of events - and sprinkling some star-dust from marquee man Bolt.Bolt, who completed a ""treble treble"" of 100m, 200m and 4x100m relay Olympic titles at the 2016 Rio Games, was paid a seven-figure appearance fee to commit to all three meetings in the inaugural series in Melbourne this month and given a stake in the company running the event.He fulfilled his role as athletics' great entertainer, galloping on to the field before the meeting as flame cannons shot fireballs into the air and dancing to thumping pop music."
ICC to ban venues with poor quality pitches and outfields,"""When a venue accumulates five demerit points its ICC accreditation will be suspended for a period of 12 months."
Self-defence classes at Infosys post Pune-techie's murder,"As many as 1000 female employees attended the self defence workshop.Talking to India Today, one of the employee who attended the Friday afternoon session said that there was a tremendous turnout of female employees who wanted to be self defendant."
"UK cleaning firm offers women ?4,000 an hour to work nude",They want women who would be comfortable with cleaning houses naked.
Spineless EC has surrendered to PM Modi: Arvind Kejriwal,"""Just like Modiji destroyed the RBI, he has also destroyed the Election Commission by appointing his cronies in the Commission,"" Kejriwal said.Punjab began voting for all 117 assembly constituencies in the state at 8 a.m., while polling for Goa's 40 assembly seats got underway at 7 a.m.Also read: Assembly Elections 2017: FULL COVERAGEKejriwal also slammed Modi for his November 8 demonetisation move and said it had failed to curb black money."
"Actress Gautami questions Centre's silence on TN, Jaya issue","The outpourings of anguish from citizens of Tamil Nadu and all over India, have joined forces with my voice addressed to our Prime Minister."
"UP must get rid of SCAM - SP, Cong, Akhilesh & Mayawati: PM","The seven-phase polls in Uttar Pradesh will be held on February 11, 15, 19, 23, 27, March 4 and 8."
"Focus on your work, don't worry about chair: Stalin to TN CM","Stalin said that Tamil Nadu is facing threats from neighboring states who wish to build dams across the interstate flowing reverse, which my cause adverse effects on farming."
"Mughal Gardens roses named after Pranab Mukherjee, wife","New Delhi, Feb 3 (PTI) The famous Mughal Gardens of Rashtrapati Bhavan will this year have special roses named after President Pranab Mukherjee and his wife Suvra Mukherjee."
